"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-01","0.00","0.0","0.0","61","45","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-02","0.00","0.0","0.0","59","34","43"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-03","0.00","0.0","0.0","54","33","36"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-04","0.00","0.0","0.0","60","30","39"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-05","0.00","0.0","0.0","64","33","41"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-06","0.00","0.0","0.0","64","37","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-07","0.00","0.0","0.0","67","36","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-08","0.00","0.0","0.0","74","40","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-09","0.00","0.0","0.0","73","50","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-10","0.00","0.0","0.0","72","44","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-11","0.00","0.0","0.0","70","42","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-12","0.00","0.0","0.0","71","40","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-13","0.00","0.0","0.0","61","43","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-14","0.00","0.0","0.0","77","39","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-15","0.00","0.0","0.0","73","53","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-16","0.00","0.0","0.0","70","43","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-17","0.00","0.0","0.0","67","44","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-18","0.00","0.0","0.0","73","45","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-19","0.00","0.0","0.0","73","42","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-20","0.00","0.0","0.0","80","53","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-21","0.00","0.0","0.0","75","45","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-22","0.00","0.0","0.0","75","57","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-23","0.00","0.0","0.0","78","52","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-24","0.00","0.0","0.0","77","44","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-25","0.00","0.0","0.0","76","41","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-26","0.00","0.0","0.0","71","49","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-27","0.00","0.0","0.0","72","39","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-28","0.00","0.0","0.0","73","47","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-29","0.00","0.0","0.0","67","37","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-30","0.00","0.0","0.0","70","35","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-01-31","0.00","0.0","0.0","61","37","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-01","0.00","0.0","0.0","72","40","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-02","0.00","0.0","0.0","64","50","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-03","0.00","0.0","0.0","71","51","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-04","0.00","0.0","0.0","70","51","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-05","0.00","0.0","0.0","68","37","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-06","0.00","0.0","0.0","84","42","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-07","0.00","0.0","0.0","80","50","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-08","0.00","0.0","0.0","82","44","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-09","0.00","0.0","0.0","87","61","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2022-02-10","0.00","0.0","0.0","88","62","65"
